a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
adapta-maia-theme 3.93.0.129-1
adwaita-icon-theme 3.26.1-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
android-tools 8.1.0_r7-1
android-udev 20180112-1
apm 1.19.0-1
appstream-glib 0.7.4-1
apr 1.6.3-1
apr-util 1.6.1-2
archlinux-appstream-data 20180129-1
archlinux-keyring 20180108-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
atom 1.23.3-2
attr 2.4.47-3
audacious 3.9-1
audacious-plugins 3.9-2
audiofile 0.3.6-4
autoconf 2.69-4
autoconf-archive 1:2017.09.28-1
automake 1.15.1-1
avahi 0.7-4
b43-fwcutter 019-1
babl 0.1.38-1
bash 4.4.018-1
bc 1.07.1-1
binutils 2.29.1-2
bison 3.0.4-3
bleachbit 1.12-1
blueman 2.0.5-1
bluez 5.48-2
bluez-libs 5.48-2
boost-libs 1.66.0-1
breath-wallpaper 0.3.0-2
btrfs-progs 4.15-1
bubblewrap 0.2.0-1
bumblebee 3.2.1-18
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.35-1
ca-certificates-utils 20170307-1
caffeine-ng 3.4.0-2
cairo 1.15.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.100-1
catfish 1.4.4-1
cdparanoia 10.2-5
celt 0.11.3-3
chromaprint 1.4.3-1
chromium 64.0.3282.167-1
cifs-utils 6.7-2
ckbcomp 1.175-1
clucene 2.3.3.4-9
cmake 3.10.2-2
cmus 2.7.1-9
colord 1.4.1+6+gf08c25d-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cpupower 4.15-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.1-1
cups 2.2.6-4
cups-filters 1.20.0-1
cups-pdf 3.0.1-4
